Kod;Kapanış (TL);Günlük Getiri (%);Haftalık Getiri (%);Aylık Getiri (%);Yıl İçi Getiri (%)
A1CAP;16,48;2,36;-0,54;33,77;39,66
A1YEN;31,08;0,91;0,26;-2,33;7,54
ACSEL;116,6;4,39;12,88;14,76;19,34
ADEL;37,02;5,53;8,25;13,14;12,18
ADESE;1,19;0,85;-14,39;-30;-21,71
ADGYO;63,6;2,33;-5;15,64;44,61
AEFES;20,56;1,88;4,68;25,37;30,87
AFYON;14,83;2,7;1,37;10,26;14,25
AGESA;243,4;0,04;0,83;16,63;10,04
AGHOL;35,92;2,92;4,91;15,57;25,16
AGROT;3,24;2,53;2,53;-1,82;9,09
AGYO;7,8;1,3;2,5;6,27;10,17
AHGAZ;25,66;1,99;-1,53;18,14;14,04
AHSGY;25,5;5,37;9,44;15,91;52,51
AKBNK;85,45;1,91;-6,05;16,26;22,42
AKCNS;208,1;6,55;6,99;27,12;25,82
AKENR;11,27;1,81;3,97;1,35;0
AKFGY;2,98;0,68;-2,3;4,56;15,95
AKFIS;22,46;1,26;-0,62;8,71;11,3
AKFYE;19,21;0,95;-6,57;8,96;17,06
AKGRT;8,38;0,72;-0,48;18,03;23,24
AKHAN;26;9,98;-;-;-
AKMGY;219,5;1,25;-0,9;10,3;10,91
AKSA;10,88;2,64;-0,09;8,37;10,79
AKSEN;68,3;1,19;-6,37;-0,44;-5,79
AKSGY;8,67;2,36;-1,37;4,33;15,14
AKSUE;23,14;2,12;-0,34;2,84;-11
AKYHO;2,95;2,79;3,87;10,49;7,66
ALARK;114,1;2,61;8,77;15,54;11,86
ALBRK;9,09;3,06;0,89;12,08;15,65
ALCAR;905;2,2;3,78;6,28;6,22
ALCTL;140,5;2,11;-2,23;23,79;35,75
ALFAS;41,86;1,8;3,56;3,61;2,55
ALGYO;5,3;0,19;0,95;3,72;24,71
ALKA;13,22;1,77;0,92;-6,57;24,95
ALKIM;19,65;3,97;2,18;-6,61;6,79
ALKLC;248;-2,75;-7,29;21,75;16,65
ALTNY;15,93;1,85;0,38;-7,17;8,74
ALVES;4,06;2,78;6,84;54,96;57,98
ANELE;16,49;2,04;0,98;-6,31;-1,2
ANGEN;11,4;1,88;-1,13;5,46;5,46
ANHYT;117,1;1,47;-1,51;20,04;19,19
ANSGR;27,08;0,67;-3,42;10,35;16,72
ARASE;82,5;0,98;0,36;7;10,15
ARCLK;124,7;1,38;8,43;13,67;23,47
ARDYZ;44,54;1,97;-3,17;7,9;34
ARENA;28,08;-1,89;-4,23;-7,39;-0,78
ARFYE;31,3;9,98;9,59;-9,17;-
ARMGD;87;0,12;4,44;5,26;23,67
ARSAN;4,57;2,24;-1,51;15,4;20,26
ARTMS;40,72;4,41;10,89;15,81;8,47
ARZUM;2,83;9,69;12,75;25,22;14,11
ASELS;292;1,39;-2,5;3,18;26,03
ASGYO;11,5;2,13;1,5;1,23;5,99
ASTOR;160,9;5,86;4,08;18,57;37,64
ASUZU;64,5;1,49;7,5;7,86;13,06
ATAGY;13,5;0,67;0;-2,1;-12,79
ATAKP;57,6;2,58;0,88;9,82;10,24
ATATP;155,9;4,14;-1,33;19,28;17,31
ATEKS;111,1;10;43,35;7,76;-35,71
ATLAS;9,97;9,92;2,57;59,78;69,85
ATSYH;63,2;3,61;13,16;-3,07;-15,96
AVGYO;12,7;4,96;9,01;30,26;33,83
AVHOL;39,26;2,94;1,6;0,26;6,17
AVOD;5,11;0;-0,78;28,39;39,24
AVPGY;54,8;2,05;-1,62;-4,2;5,38
AVTUR;17,92;-0,61;3,29;16,44;17,12
AYCES;505;0,8;3,7;10,75;22,57
AYDEM;26,12;0,54;1,16;18,84;15,88
AYEN;28,24;3,82;1,29;11,09;13,78
AYES;24,02;8,49;29,84;26,02;36,87
AYGAZ;230,5;-0,3;3,09;12,88;15,89
AZTEK;4,78;3,02;-4,21;13,81;16,02
BAGFS;30,34;2,22;0,53;18,89;18,33
BAHKM;136,8;6,05;38,88;58,7;100,29
BAKAB;41,22;3,93;3,15;9,86;10,51
BALAT;107;3,88;7;13,05;-1,11
BALSU;16,56;0,3;4,28;2,22;-4,22
BANVT;176,9;4,67;3,75;3,51;9,2
BARMA;45,2;0,44;9,18;35,01;19,83
BASCM;16;0,06;3,96;18,69;17,04
BASGZ;45,16;2,03;-1,87;6,46;-2,97
BAYRK;4,64;1,98;0,43;-14,23;-12,62
BEGYO;4,79;0,21;1,05;0,63;2,13
BERA;21,1;7,11;15,3;13,75;20,57
BESLR;14,27;1,93;-3,65;13,07;16,58
BEYAZ;29,68;1,78;-0,74;-2,43;9,6
BFREN;164,2;-0,48;4,65;6,49;6,28
BIENY;24,42;2,35;3,39;6,92;-2,55
BIGCH;56,8;3,46;3,46;26,79;12,25
BIGEN;10,11;6,2;7,9;13,6;13,6
BIGTK;312,25;9,95;9,56;10,34;1,88
BIMAS;704;3,07;5,79;13,73;31,22
BINBN;207,6;9,96;14,51;14,82;15,33
BINHO;10,73;9,94;21,93;21,66;21,52
BIOEN;19,98;3,9;5,77;19,28;19,64
BIZIM;32,54;3,11;-0,73;18,59;25,64
